Days,Aspartic_acid_(0.57mM),Threonine_(0.92mM),Serine_(5_mM),Glutamic_acid_(0.97mM),Glutamine,Proline_(1.435_mM),Glycine_(0.39),Alanine_(1.57_mM),Valine,Methionine,Isoleucine,Leucine,Tyrosine,Phenylalanine,Lysine,Histidine,Arginine,Bioreactor_#,IGF,Amino_acids,Ps_PCD,Titer_mg/L,Max_Titer,Max_prod,Max_prod_cells,miu,deamid%,Tit_Max,Max_Volumetric_productivity,Max_cells
0,0.57,0.92,5.01,0.97,0.00,1.44,0.39,1.57,1.07,0.31,1.10,1.47,0.53,0.59,1.16,0.41,1.01,LB03,No,Ornithinre,8.1,586,599,45.5,4,0.53,19.16,98,101,133
6,1.41,0.47,2.16,1.29,0.33,0.93,2.06,4.16,0.50,0.11,0.58,0.75,0.25,0.31,0.55,0.25,0.84,LB03,No,Ornithinre,8.1,586,599,45.5,4,0.53,19.16,98,101,133
20,0.75,0.07,0.41,1.37,0.82,0.98,3.93,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LB03,No,Ornithinre,8.1,586,599,45.5,4,0.53,19.16,98,101,133
21,0.82,0.08,0.52,1.96,1.25,1.01,4.50,6.43,0.11,0.12,0.23,0.22,0.00,0.23,0.06,0.20,0.68,LB03,No,Ornithinre,8.1,586,599,45.5,4,0.53,19.16,98,101,133
0,0.57,0.92,5.01,0.97,0.00,1.44,0.39,1.57,1.07,0.31,1.10,1.47,0.53,0.59,1.16,0.41,1.01,LB04,No,Ornithinre,8.1,586,599,45.5,4,0.53,19.16,98,101,133
6,1.47,0.50,2.27,1.33,0.52,1.00,1.92,4.16,0.54,0.11,0.64,0.82,0.29,0.34,0.60,0.31,0.76,LB04,Several,Ornithinre,13.8,580,598,58.4,3.4,0.515,19.16,98,129,113
20,0.84,0.08,0.42,1.57,1.09,1.10,4.54,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LB04,Several,Ornithinre,13.8,580,598,58.4,3.4,0.515,19.16,98,129,113
21,0.70,0.08,0.40,1.77,1.33,0.91,3.85,6.82,0.11,0.11,0.26,0.25,0.00,0.24,0.04,0.16,0.62,LB04,Several,Ornithinre,13.8,580,598,58.4,3.4,0.515,19.16,98,129,113
0,0.57,0.92,5.01,0.97,0.00,1.44,0.39,1.57,1.07,0.31,1.10,1.47,0.53,0.59,1.16,0.41,1.01,LB05,No,Ornithinre,8.1,586,599,45.5,4,0.53,19.16,98,101,133
6,1.60,0.43,2.14,1.57,0.39,1.02,2.34,4.85,0.49,0.11,0.61,0.74,0.24,0.33,0.51,0.28,0.93,LB05,Several,Leocine+Lysine,10.1,586,601,54.9,4.6,0.54,18.02,98,122,153
20,0.76,0.07,0.29,1.59,0.79,1.03,3.75,5.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LB05,Several,Leocine+Lysine,10.1,586,601,54.9,4.6,0.54,18.02,98,122,153
21,0.71,0.08,0.32,1.90,1.03,0.99,3.68,6.18,0.10,0.05,0.24,0.62,0.00,0.23,0.61,0.16,0.62,LB05,Several,Leocine+Lysine,10.1,586,601,54.9,4.6,0.54,18.02,98,122,153
0,0.57,0.92,5.01,0.97,0.00,1.44,0.39,1.57,1.07,0.31,1.10,1.47,0.53,0.59,1.16,0.41,1.01,LB06,No,Ornithinre,8.1,586,599,45.5,4,0.53,19.16,98,101,133
6,1.77,0.56,2.60,1.44,0.80,1.15,2.11,4.59,0.66,0.15,0.75,0.99,0.34,0.41,0.55,0.23,0.82,LB06,No,Leocine+Lysine,15.1,598,613,45.1,3,0.43,19.48,100,100,100
20,0.91,0.08,0.69,1.58,1.25,1.01,3.74,6.79,0,0,0,0,0,0,0,0,0,LB06,No,Leocine+Lysine,15.1,598,613,45.1,3,0.43,19.48,100,100,100
21,0.93,0.08,0.79,2.09,1.84,0.99,4.15,8.36,0.15,0.14,0.34,0.70,0.00,0.24,0.55,0.19,0.59,LB06,No,Leocine+Lysine,15.1,598,613,45.1,3,0.43,19.48,100,100,100
